model,tau_steps,tau_minutes,patient_id,precision,recall,f1,f2,tp,fp,fn
lstm_event,12,60,85209,0.31643625192012237,0.8408163265306088,0.4598214285714276,0.6315144083384407,206,445,39
lstm_event,12,60,85211,0.3217391304347798,0.6851851851851725,0.43786982248520184,0.5589123867069402,37,78,17
lstm_event,12,60,85214,0.08270676691729302,0.7674418604650984,0.14932126696832512,0.2889667250437803,33,366,10
lstm_event,12,60,85215,0.24218749999999903,0.8611111111110992,0.3780487804878025,0.5698529411764653,62,194,10
lstm_event,12,60,85216,0.26808510638297833,0.8957345971563939,0.41266375545851436,0.6100710135571317,189,516,22
lstm_event,12,60,85217,0.16037735849056453,0.44736842105261976,0.2361111111111078,0.32945736434107886,17,89,21
lstm_event,12,60,85218,0.32448377581120846,0.7534246575342415,0.45360824742267847,0.5958829902491842,110,229,36
lstm_event,12,60,85219,0.06060606060606,0.46153846153842604,0.10714285714285524,0.19867549668873513,6,93,7
lstm_event,12,60,85220,0.4827586206896528,0.7716535433070806,0.5939393939393904,0.6891701828410641,98,105,29
lstm_event,12,60,85221,0.16037735849056453,0.9999999999999413,0.27642276422763784,0.4885057471264228,17,89,0
lstm_event,12,60,85222,0.27999999999999936,0.8181818181818129,0.4172185430463562,0.5909943714821736,126,324,28
lstm_event,12,60,85224,0.20930232558139453,0.6206896551724067,0.31304347826086776,0.44554455445544183,54,204,33
patchtst_event,1,5,85101,0.005331302361005328,0.8749999999998906,0.010598031794095368,0.026022304832713658,7,1306,1
patchtst_event,1,5,85102,0.0308510638297872,0.7837837837837626,0.05936540429887398,0.1332720588235288,29,911,8
patchtst_event,1,5,85104,0.005886681383370121,0.8888888888887901,0.01169590643274852,0.028673835125447928,8,1351,1
patchtst_event,1,5,85105,0.020626432391138268,0.5346534653465294,0.039720485472600195,0.08934480476505612,54,2564,47
patchtst_event,1,5,85106,0.0361930294906166,0.7199999999999904,0.06892150606253979,0.15066964285714243,54,1438,21
patchtst_event,1,5,85107,0.004554326610279763,0.3888888888888673,0.00900321543408359,0.02175264139216898,7,1530,11
patchtst_event,1,5,85111,0.0007923930269413623,0.9999999999989999,0.0015835312747426737,0.003949447077409148,1,1261,0
patchtst_event,1,5,85112,0.003282275711159734,0.21428571428569898,0.006465517241379296,0.015463917525773115,3,911,11
patchtst_event,1,5,85116,0.009036144578313247,0.8571428571427959,0.017883755588673597,0.04335260115606921,12,1316,2
patchtst_event,1,5,85117,0.024114544084400887,0.6666666666666528,0.04654545454545448,0.10533245556286998,32,1295,16
patchtst_event,1,5,85118,0.12682926829268282,0.7738095238095192,0.21793797150041877,0.38302887448438305,130,895,38
patchtst_event,1,5,85119,0.0,0.0,0.0,0.0,0,338,18
patchtst_event,1,5,85120,0.0,0.0,0.0,0.0,0,15,6
patchtst_event,1,5,85121,0.013788575180564666,0.5384615384615247,0.026888604353393054,0.06253722453841554,21,1502,18
patchtst_event,1,5,85122,0.011670313639679058,0.94117647058818,0.023054755043227633,0.055594162612925456,16,1355,1
patchtst_event,1,5,85123,0.050161812297734594,0.8051948051947948,0.0944402132520943,0.20077720207253824,62,1174,15
patchtst_event,1,5,85124,0.01304863582443652,0.4399999999999824,0.02534562211981561,0.05832449628844082,11,832,14
patchtst_event,1,5,85125,0.0,0.0,0.0,0.0,0,455,22
patchtst_event,1,5,85126,0.0,0.0,0.0,0.0,0,721,0
patchtst_event,1,5,85201,0.004432624113475174,0.3333333333333111,0.008748906386701649,0.02104377104377096,5,1123,10
patchtst_event,1,5,85202,0.006129597197898419,0.9999999999998571,0.01218450826805916,0.029914529914529787,7,1135,0
patchtst_event,1,5,85204,0.010088272383354338,0.27586206896550775,0.019464720194647154,0.04400440044004376,8,785,21
patchtst_event,1,5,85207,0.01607142857142856,0.3749999999999922,0.030821917808219128,0.0685975609756095,18,1102,30
